,Mean Annual Return,Median Annual Return,Std Deviation,5th Percentile,95th Percentile
AAPL,0.30697831213259913,0.26051480610238875,0.3716162258623431,-0.209901620978745,0.9871292749783025
ABT,0.16525029281818726,0.13463307014215553,0.2691117016505304,-0.21843524724433572,0.6511038779760139
ADBE,0.29823839785853395,0.2428291803088326,0.4225547750097737,-0.27450366703868245,1.0785667500249445
AMZN,0.3329391993497028,0.26561989311108913,0.4461208120821243,-0.26072613460326893,1.1392612655529577
AVGO,0.5516596193590975,0.4511555614356728,0.5848669971901183,-0.20657371862905866,1.6403290601763842
BA,0.17480264742717408,0.09892315319072842,0.45999897926358385,-0.41635646675164645,1.0335667479931643
BAC,0.1901582965362155,0.1373988002123676,0.3635492767025968,-0.3076495064653414,0.8397841357907607
BRK-B,0.16022311040769968,0.14156298170563164,0.21886901211222035,-0.16301415455275353,0.5564328722401011
CAT,0.1946959732207143,0.1475543792262275,0.3430525810177709,-0.2742538850991482,0.8215814877025497
CMCSA,0.1086732898912233,0.0778585253681503,0.27202629561871583,-0.2718323537603901,0.6066279474060193
COST,0.24866090366826146,0.22352325925117733,0.25997577791960613,-0.12379782548135207,0.7158524375153077
CRM,0.2631813594365026,0.19345690043479558,0.4460549758812847,-0.3232165619511524,1.0758680526567783
CSCO,0.16158383021748465,0.12939212470393702,0.2876990307160793,-0.24730633711412867,0.6816862617875172
CVX,0.10596298895523595,0.061588906938064514,0.3166657149050668,-0.3218059200707887,0.6695464349815323
DIS,0.10896306986010809,0.07343224646492119,0.2921044111541293,-0.29851449151570125,0.6392880131178559
GE,0.11343158050165203,0.05625240204966542,0.372969345885391,-0.3835156220242026,0.8096882809172495
GOOGL,0.2601668353267912,0.21510072222356313,0.34923555465126904,-0.22283750785185877,0.8995228244440998
GS,0.1981309719288637,0.1485960932383874,0.3353893014196253,-0.2658105462749752,0.8273761777493777
HD,0.22230980701587097,0.1924888570661203,0.2876127928091882,-0.18824626723712898,0.7445100326732765
HON,0.16768788932494635,0.1387082786870094,0.2580079711756323,-0.2044465482203871,0.6377993608903075
IBM,0.08463558616020037,0.057025727916987345,0.24891632678897413,-0.27434268275758333,0.5366402378952086
INTC,0.08343192783705383,0.019186411844430706,0.37792434386873386,-0.40917584569280874,0.7905976462277937
JNJ,0.1054523430111474,0.08840922680716679,0.19357582705347726,-0.18332591291887607,0.4511980632500642
JPM,0.2234348301143458,0.18171366833970626,0.326404452900209,-0.2273997061533818,0.8088118717849859
KO,0.09341977100877784,0.07760673859196843,0.19313350204934437,-0.19126134557530147,0.44092951978704964
LLY,0.3256050252537236,0.2818415474528889,0.3507240303854841,-0.16796325177401922,0.9583359397610024
MA,0.2581547312237027,0.21720565919977186,0.3289792056937427,-0.20897612339230515,0.8644550127116875
MCD,0.15241561397548362,0.1327511976560013,0.22452439663149648,-0.17659204732468203,0.5534586216709353
META,0.3812891776025764,0.29405265374491996,0.5375320028695395,-0.3087860829438341,1.3870739338087559
MRK,0.14380056639159566,0.12022836555640859,0.24350382601861134,-0.21282050794882493,0.58622480308059
MS,0.25230178010505433,0.19223415820172163,0.3917996908238875,-0.27523193470727325,0.9851923476177213
MSFT,0.3222595916790864,0.28220435192032345,0.353444210281801,-0.16973121364948565,0.9583837731202368
NKE,0.15091383088368046,0.11024937228071774,0.33330827940795354,-0.31337622648549507,0.7636627692949883
NVDA,0.8480955791588698,0.6593043615490928,0.8895434837559482,-0.21153051336191078,2.5654569372639537
ORCL,0.19106529372919548,0.15085330086688253,0.32376686001269267,-0.25686600957768335,0.777340277769641
PEP,0.12032250361759685,0.10530721346191929,0.2012720736952114,-0.17627345172701023,0.4751624995992828
PFE,0.07463988003278921,0.04974770220850533,0.23927009157569118,-0.27273567869386134,0.5010566918734999
PG,0.12862169573012397,0.11048059801087662,0.2040182799799049,-0.17177351542368777,0.4924625683760638
PM,0.10685353899321172,0.08207640272518979,0.24263091885246127,-0.2480197486917831,0.5401281575941335
QCOM,0.17358583433924868,0.10692267473704786,0.42006330876619696,-0.37604483285606605,0.9575678030906374
SBUX,0.16218716484625828,0.11963022098235343,0.3172447817026779,-0.27477800236336863,0.7413612477668517
TMO,0.22959698094968153,0.19327328891010953,0.2991631824850301,-0.18986271997632226,0.7740305787368416
TXN,0.23445350881891672,0.18780966413613287,0.33888539722721694,-0.23959878459952536,0.8562163712673981
UNH,0.2652895828295121,0.2256600827009383,0.3283011968816948,-0.19264302434863775,0.8719033728848158
UPS,0.10939777781500507,0.07559123342364482,0.27328690486754376,-0.27632847363879715,0.6057502702074209
V,0.23110425107098034,0.19750535635186428,0.29912881979897,-0.19108443229781352,0.7702234566000551
VZ,0.06287627730271554,0.04596177807589352,0.20007254502949076,-0.23131807109554017,0.41675907387686095
WFC,0.13473142734997032,0.08915753774493573,0.3371601011867666,-0.32743417500443045,0.7491737209611109
WMT,0.1673216749164136,0.14405624957479302,0.2354533628469335,-0.1783073466652454,0.581079460195328
XOM,0.09225366271925074,0.05527492983988902,0.2897287712838664,-0.3147975715228546,0.6196315773074346
