Stock,Weight,Sharpe Ratio,Mean Annual Return,Std Deviation,5th Percentile,95th Percentile
NVDA,0.03988692728785908,0.9212556711234393,0.8390027781679852,0.8672975409677848,-0.21445098244334687,2.554160016352116
AVGO,0.038277104593349556,0.8840741084496073,0.5592492066974631,0.5873367421743249,-0.19767698353691457,1.6449943517280488
COST,0.03567534383257828,0.8239820678050892,0.2544985705969421,0.26031946443727844,-0.12779524851700802,0.7207100604022199
LLY,0.0351513488375422,0.8118795220929699,0.33586417311676636,0.3644188146956198,-0.16829901189400284,1.0002234016672638
MSFT,0.034463869551161416,0.7960010317097066,0.32170094579185504,0.3538952018526887,-0.16150675054881042,0.9708425866027044
AAPL,0.029992443076608984,0.6927259168339921,0.2987945382921109,0.3735886474045832,-0.21565805869512747,0.9845270286398065
UNH,0.029582560217667378,0.683258982828996,0.26175796309549604,0.3245591622920484,-0.18992903224591084,0.859072380145097
AMZN,0.02930644732413942,0.6768816911615488,0.34209388428262394,0.44630234238456357,-0.2620585605550419,1.1865578972886694
MA,0.028778674745272206,0.6646918957973704,0.26289086346099766,0.33532959386185346,-0.20684952477963947,0.8648241705913758
V,0.028663013835922874,0.6620205125670608,0.23972857714548682,0.3016954510533461,-0.18603004302915185,0.784293857519694
TMO,0.027809567676003368,0.6423087381014533,0.22857544098668894,0.2935900289074119,-0.19463421708441225,0.7556503328397755
GOOGL,0.02767943808471673,0.6393031763270751,0.2677293905168624,0.35621501495614866,-0.22597146996818532,0.9302366879319275
HD,0.027522043169685657,0.6356678760435533,0.2247204233721368,0.2905926669157032,-0.1909547380134923,0.7560602820087385
META,0.027329959495950875,0.631231380535105,0.38227619368817806,0.5422357066564483,-0.3158278908601141,1.3892022789129521
BRK-B,0.02457691291939648,0.5676451395290272,0.16033561949402333,0.21199092727873137,-0.15875392123314186,0.5340354751148358
TXN,0.024249794910603684,0.560089798939563,0.22809406733087226,0.33582841124226354,-0.24179989016201534,0.8345824811310482
JPM,0.024077112834346034,0.5561014159561951,0.22131500672654997,0.32604665538350724,-0.22758980508229013,0.812290199577746
MS,0.023609262461159748,0.5452956247147556,0.25140601950729097,0.38769065792133867,-0.2697590402142883,0.9546904107716141
WMT,0.023310144721243476,0.5383869974283572,0.16655496283370025,0.2350631858462385,-0.1777652649493125,0.5856464696672884
MCD,0.022258236170718752,0.5140914002598806,0.15569404948517385,0.22504568142297035,-0.17417349950880107,0.5588669354407998
CRM,0.021487494204665458,0.4962898182509412,0.2621407863335516,0.44760294925339283,-0.31993513655175804,1.0959509826237812
HON,0.02104334287970151,0.4860313963873805,0.165337293061872,0.2578790053348214,-0.20491137524662137,0.6326806644919224
ORCL,0.020902995748132782,0.4827898433354122,0.19825462122440718,0.3277919438633711,-0.2578054920091595,0.8067040036034641
GS,0.020207742344203663,0.4667317966321623,0.1968782620984497,0.33612079406299283,-0.2610831001381869,0.8065781742492986
ABT,0.019685816710473283,0.45467704629983563,0.16175039630476432,0.267773350987409,-0.21592961078343928,0.6529880299347255
CAT,0.01960312948543439,0.45276724576677413,0.19709762576826093,0.3469721523300822,-0.2800204927481153,0.8321121902180508
CSCO,0.018742971511366963,0.4329004506648896,0.16583409691209872,0.29067675193876735,-0.2485929866875264,0.6879339485748548
PG,0.018400925846768248,0.4250003307579177,0.12518079630196313,0.20042524708170764,-0.17181036844359054,0.47726350643860305
BAC,0.017749524549114243,0.40995512220349545,0.1882660921207262,0.36166420198337995,-0.30736293510788915,0.8456445486221992
MRK,0.017025339245112594,0.39322884460780694,0.13367013477646028,0.23820769015529286,-0.2116371130463171,0.5661594436218674
SBUX,0.016633551943154443,0.3841798579260737,0.16262620119051532,0.31918956358745865,-0.2757163899968149,0.7502802201145741
SAP,0.016389856715126303,0.3785513067662811,0.15106466545605904,0.29339395603944046,-0.26529618182232323,0.6816599644767389
